country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
St. Kitts and Nevis,16400.0,18200.0,17500.0,17500.0,17700.0,17500.0,18500.0,19900.0,20000.0,20800.0,20900.0,21300.0,21900.0,undeveloped
South Korea,23400.0,23900.0,24000.0,25500.0,26200.0,26700.0,27400.0,28100.0,28700.0,29500.0,30300.0,31100.0,31600.0,developed
Kuwait,41100.0,39900.0,35100.0,32600.0,33400.0,33000.0,31100.0,30300.0,29300.0,29100.0,27200.0,26700.0,26300.0,developed
Lao,1300.0,1380.0,1470.0,1570.0,1670.0,1780.0,1890.0,2010.0,2130.0,2240.0,2360.0,2470.0,2560.0,undeveloped
Lebanon,7230.0,7760.0,8450.0,9040.0,9030.0,9020.0,8540.0,7920.0,7800.0,8100.0,8370.0,8440.0,8080.0,undeveloped
Liberia,580.0,597.0,609.0,628.0,653.0,681.0,724.0,714.0,700.0,675.0,679.0,673.0,644.0,undeveloped
Libya,13700.0,13400.0,12600.0,12900.0,6730.0,13300.0,10700.0,8060.0,7870.0,7640.0,9970.0,10600.0,9820.0,undeveloped
St. Lucia,10200.0,10600.0,10200.0,10200.0,10600.0,10500.0,10200.0,10300.0,10300.0,10600.0,10900.0,11200.0,11100.0,undeveloped
Sri Lanka,2630.0,2760.0,2830.0,3030.0,3260.0,3510.0,3630.0,3850.0,3990.0,4170.0,4430.0,4500.0,4460.0,undeveloped
Lesotho,913.0,958.0,939.0,982.0,1020.0,1080.0,1080.0,1090.0,1110.0,1140.0,1090.0,1060.0,1030.0,undeveloped
Lithuania,12000.0,12400.0,10700.0,11100.0,12000.0,12700.0,13300.0,13900.0,14300.0,14800.0,15700.0,16400.0,17300.0,developed
Luxembourg,112000.0,110000.0,105000.0,107000.0,105000.0,104000.0,105000.0,106000.0,105000.0,108000.0,107000.0,106000.0,107000.0,developed
Latvia,13200.0,12900.0,11200.0,11000.0,11500.0,12400.0,12800.0,13200.0,13800.0,14200.0,14800.0,15600.0,15800.0,developed
Morocco,2540.0,2650.0,2710.0,2770.0,2880.0,2930.0,3010.0,3050.0,3140.0,3120.0,3230.0,3300.0,3360.0,undeveloped
Moldova,2080.0,2250.0,2120.0,2270.0,2400.0,2390.0,2610.0,2740.0,2750.0,2910.0,3090.0,3270.0,3440.0,undeveloped
Madagascar,483.0,501.0,467.0,457.0,451.0,452.0,450.0,453.0,456.0,462.0,468.0,470.0,479.0,undeveloped
Maldives,8910.0,9380.0,8310.0,8570.0,8990.0,8890.0,9190.0,9530.0,9480.0,9690.0,9970.0,10500.0,10900.0,undeveloped
Mexico,9920.0,9890.0,9150.0,9480.0,9670.0,9870.0,9830.0,9950.0,10100.0,10200.0,10200.0,10300.0,10200.0,undeveloped
North Macedonia,4140.0,4390.0,4410.0,4580.0,4710.0,4710.0,4860.0,5050.0,5260.0,5430.0,5510.0,5700.0,5960.0,undeveloped
Mali,676.0,685.0,695.0,709.0,708.0,682.0,678.0,703.0,724.0,742.0,756.0,768.0,779.0,undeveloped
Malta,19300.0,19900.0,19600.0,20600.0,20600.0,21200.0,22100.0,23300.0,24900.0,25200.0,27200.0,28200.0,29000.0,developed
Myanmar,647.0,710.0,780.0,849.0,889.0,946.0,1020.0,1090.0,1160.0,1220.0,1280.0,1350.0,1430.0,undeveloped
Montenegro,5800.0,6210.0,5830.0,5980.0,6170.0,6000.0,6200.0,6310.0,6520.0,6710.0,7020.0,7380.0,7680.0,developed
Mongolia,2400.0,2590.0,2520.0,2650.0,3060.0,3370.0,3700.0,3910.0,3920.0,3890.0,4020.0,4240.0,4390.0,undeveloped
Mozambique,442.0,460.0,475.0,493.0,512.0,537.0,555.0,580.0,604.0,613.0,610.0,613.0,609.0,undeveloped
Mauritania,1530.0,1490.0,1450.0,1450.0,1460.0,1480.0,1500.0,1520.0,1560.0,1540.0,1600.0,1630.0,1640.0,undeveloped
Mauritius,7110.0,7470.0,7690.0,8010.0,8320.0,8590.0,8860.0,9180.0,9510.0,9870.0,10200.0,10700.0,11000.0,developed
