country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Japan,0.348,0.348,0.33399999999999996,0.321,0.324,0.326,0.32899999999999996,0.32899999999999996,0.32899999999999996,0.32899999999999996,0.32899999999999996,0.32899999999999996,0.32899999999999996,developed
Kazakhstan,0.301,0.285,0.282,0.27899999999999997,0.28,0.282,0.271,0.27,0.268,0.272,0.27399999999999997,0.278,0.278,developed
Kenya,0.45299999999999996,0.447,0.441,0.435,0.43,0.424,0.419,0.413,0.408,0.406,0.405,0.405,0.405,undeveloped
Kyrgyz Republic,0.33899999999999997,0.314,0.299,0.301,0.278,0.27399999999999997,0.28800000000000003,0.268,0.29,0.268,0.273,0.27699999999999997,0.297,undeveloped
Cambodia,0.41100000000000003,0.41,0.41100000000000003,0.41100000000000003,0.41,0.409,0.408,0.40700000000000003,0.406,0.405,0.40399999999999997,0.40299999999999997,0.402,undeveloped
Kiribati,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,undeveloped
St. Kitts and Nevis,0.368,0.36700000000000005,0.368,0.369,0.368,0.369,0.368,0.36700000000000005,0.36700000000000005,0.36700000000000005,0.36700000000000005,0.36700000000000005,0.366,undeveloped
South Korea,0.32,0.32299999999999995,0.322,0.32,0.318,0.316,0.314,0.312,0.313,0.314,0.314,0.314,0.314,developed
Kuwait,0.34600000000000003,0.34600000000000003,0.349,0.35100000000000003,0.35,0.35,0.35100000000000003,0.35100000000000003,0.35200000000000004,0.35200000000000004,0.354,0.354,0.354,developed
Lao,0.354,0.355,0.35600000000000004,0.35700000000000004,0.358,0.36,0.364,0.369,0.374,0.37799999999999995,0.38299999999999995,0.38799999999999996,0.38799999999999996,undeveloped
Lebanon,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,0.318,undeveloped
Liberia,0.365,0.36,0.355,0.35,0.34600000000000003,0.341,0.337,0.332,0.342,0.353,0.353,0.353,0.353,undeveloped
