country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Philippines,5360.0,5470.0,5370.0,5600.0,5630.0,5920.0,6210.0,6410.0,6700.0,7000.0,7640.0,7940.0,8180.0,undeveloped
Papua New Guinea,5320.0,5400.0,5910.0,6680.0,6620.0,6770.0,6860.0,7670.0,8250.0,8390.0,8480.0,8180.0,8460.0,undeveloped
Poland,27400.0,27400.0,28100.0,29200.0,30600.0,31100.0,31600.0,31900.0,32800.0,33200.0,34300.0,35900.0,37300.0,developed
Portugal,46900.0,46900.0,46800.0,48500.0,49300.0,49200.0,50000.0,49600.0,49900.0,50300.0,50400.0,50600.0,51300.0,developed
Paraguay,8820.0,9160.0,8880.0,9860.0,10000.0,9300.0,10000.0,10600.0,10700.0,10900.0,11100.0,11200.0,11000.0,undeveloped
Palestine,10500.0,11600.0,11700.0,12300.0,12300.0,12800.0,12800.0,12400.0,12300.0,12700.0,12900.0,12900.0,13300.0,undeveloped
Qatar,94700.0,90700.0,85500.0,88900.0,92800.0,90300.0,88400.0,86900.0,85800.0,85300.0,84800.0,84500.0,82800.0,developed
Romania,18600.0,20500.0,19900.0,18900.0,19700.0,20000.0,20800.0,21400.0,22500.0,23800.0,24900.0,26000.0,27100.0,developed
Russia,21100.0,22100.0,20900.0,21600.0,22300.0,22900.0,23500.0,23600.0,23300.0,23400.0,23900.0,24500.0,25200.0,developed
Rwanda,1070.0,1160.0,1200.0,1250.0,1320.0,1400.0,1420.0,1470.0,1560.0,1600.0,1620.0,1710.0,1820.0,undeveloped
Saudi Arabia,59300.0,60200.0,57000.0,56600.0,58400.0,57300.0,55600.0,55100.0,54500.0,53700.0,52600.0,53300.0,52100.0,developed
Sudan,7120.0,7520.0,7460.0,7480.0,7800.0,7500.0,7630.0,7610.0,7750.0,7890.0,7980.0,7550.0,7130.0,undeveloped
Senegal,4940.0,5060.0,5110.0,5210.0,5210.0,5330.0,5340.0,5550.0,5750.0,5930.0,6180.0,6370.0,6490.0,undeveloped
Singapore,82900.0,79100.0,76900.0,82300.0,84600.0,85300.0,87900.0,88700.0,89100.0,91300.0,94500.0,96900.0,96500.0,developed
Solomon Islands,2600.0,2720.0,2520.0,2620.0,2890.0,2930.0,2930.0,2920.0,2910.0,2920.0,2950.0,2980.0,2970.0,undeveloped
Sierra Leone,1100.0,1140.0,1170.0,1210.0,1280.0,1450.0,1730.0,1780.0,1370.0,1420.0,1440.0,1450.0,1490.0,undeveloped
El Salvador,7650.0,7720.0,7590.0,7660.0,7810.0,7790.0,7790.0,8010.0,8190.0,8240.0,8380.0,8510.0,8600.0,undeveloped
Serbia,12200.0,12400.0,12800.0,13700.0,14700.0,14600.0,14500.0,13600.0,13700.0,13300.0,13100.0,13500.0,13700.0,developed
Sao Tome and Principe,3700.0,3820.0,3760.0,3860.0,3900.0,3920.0,4030.0,4210.0,4290.0,4380.0,4450.0,4470.0,4490.0,undeveloped
Suriname,23300.0,23800.0,24100.0,24400.0,25500.0,25800.0,25700.0,25500.0,24400.0,22700.0,22800.0,23100.0,22700.0,undeveloped
Slovak Republic,36100.0,37000.0,36200.0,39200.0,39900.0,40500.0,40700.0,41300.0,42200.0,41800.0,42400.0,43500.0,44300.0,developed
Slovenia,50300.0,51800.0,48500.0,49900.0,51700.0,51000.0,51300.0,52200.0,53200.0,55000.0,55000.0,56100.0,58000.0,developed
Sweden,108000.0,106000.0,104000.0,110000.0,111000.0,109000.0,110000.0,112000.0,115000.0,116000.0,118000.0,119000.0,120000.0,developed
Eswatini,18600.0,18300.0,18400.0,18700.0,18800.0,19400.0,19700.0,19400.0,19400.0,19000.0,19000.0,19000.0,19000.0,undeveloped
Syria,8410.0,8650.0,8840.0,8840.0,7980.0,6180.0,4710.0,4270.0,4150.0,4150.0,4160.0,4320.0,4460.0,undeveloped
Chad,2240.0,2230.0,2250.0,2480.0,2390.0,2520.0,2570.0,2650.0,2630.0,2390.0,2240.0,2210.0,2210.0,undeveloped
Togo,1530.0,1540.0,1570.0,1610.0,1660.0,1720.0,1780.0,1830.0,1880.0,1950.0,1990.0,2030.0,2080.0,undeveloped
Thailand,8300.0,8340.0,8170.0,8810.0,8640.0,9250.0,9670.0,9870.0,10200.0,10600.0,11100.0,11500.0,11800.0,developed
Tajikistan,2750.0,2910.0,2940.0,3040.0,3170.0,3320.0,3470.0,3610.0,3750.0,3920.0,4210.0,4510.0,4810.0,undeveloped
Turkmenistan,9010.0,10100.0,10500.0,11200.0,12600.0,13800.0,15100.0,16400.0,17200.0,18000.0,18900.0,19800.0,20800.0,undeveloped
Timor-Leste,1690.0,1850.0,2000.0,2160.0,2230.0,2310.0,2300.0,2350.0,2360.0,2380.0,2210.0,2120.0,2130.0,undeveloped
Tonga,9960.0,10300.0,10600.0,11100.0,11500.0,11800.0,11700.0,12200.0,12800.0,13400.0,13800.0,13800.0,13700.0,undeveloped
Trinidad and Tobago,34100.0,35100.0,33600.0,35100.0,35100.0,35000.0,35100.0,34300.0,35200.0,33300.0,32600.0,32600.0,32600.0,developed
Tunisia,12700.0,13000.0,13200.0,13300.0,13700.0,13800.0,13900.0,14100.0,14200.0,14300.0,14500.0,14800.0,14800.0,undeveloped
